value1;value2;value3;
1;856;1561;
2;575;3749;
3;452;8980;
4;825;5416;
5;510;4310;
6;426;4103;
7;507;970;
8;396;7796;
9;309;3734;
10;800;4602;
11;550;7646;
12;335;62;
13;642;3238;
14;347;6324;
15;666;7316;
16;425;6302;
17;970;3124;
18;470;3040;
19;224;9557;
20;267;1694;
21;407;5089;
22;270;9782;
23;824;5369;
24;206;6890;
25;972;1711;
26;755;6726;
27;137;1709;
28;887;4177;
29;310;8419;
30;805;6158;
31;644;9118;
32;573;2097;
33;115;7156;
34;144;639;
35;926;1788;
36;686;6110;
37;236;6393;
38;474;2139;
39;900;4136;
40;31;6555;
41;468;4511;
42;138;3849;
43;286;1381;
44;803;9230;
45;504;4881;
46;929;3903;
47;710;890;
48;184;1920;
49;46;8893;
50;194;2358;
51;72;5517;
52;735;2779;
53;176;8453;
54;98;3130;
55;721;89;
56;363;7402;
57;568;6955;
58;50;2839;
59;754;5097;
60;702;7627;
61;275;5827;
62;282;3932;
63;124;4922;
64;105;6208;
65;152;7108;
66;918;3323;
67;347;2284;
68;346;9081;
69;976;6247;
70;2;2999;
71;925;1121;
72;124;9579;
73;813;3446;
74;639;4820;
75;274;1036;
76;573;6667;
77;268;6653;
78;902;3465;
79;547;7891;
80;753;2867;
81;837;5132;
82;585;9697;
83;260;1949;
84;626;1532;
85;159;9315;
86;94;2741;
87;747;1765;
88;777;3762;
89;766;868;
90;637;3715;
91;753;1652;
92;523;7235;
93;543;2405;
94;215;394;
95;237;1642;
96;262;7055;
97;632;5546;
98;703;2075;
99;870;8821;
100;339;6265;
101;410;7854;
102;258;1801;
103;808;1607;
104;931;5987;
105;80;523;
106;224;5353;
107;218;3204;
108;380;8950;
109;743;5260;
110;922;6306;
111;928;8209;
112;499;6519;
113;566;226;
114;107;3998;
115;877;4518;
116;145;3490;
117;789;7052;
118;338;3767;
119;294;4956;
120;360;9907;
121;207;6332;
122;804;7194;
123;571;8352;
124;317;1976;
125;458;5641;
126;995;7478;
127;135;653;
128;805;7168;
129;243;8647;
130;875;238;
131;725;2229;
132;297;3870;
133;532;9472;
134;97;3522;
135;147;3705;
136;740;2885;
137;495;8574;
138;980;5225;
139;432;1995;
140;377;9885;
141;625;7806;
142;822;6474;
143;958;4227;
144;207;6092;
145;194;9662;
146;474;9390;
147;770;1350;
148;335;9678;
149;626;9326;
150;405;2400;
151;881;7920;
152;674;5998;
153;523;227;
154;334;3116;
155;555;9355;
156;437;5401;
157;971;1775;
158;7;1714;
159;154;901;
160;110;1169;
161;816;2474;
162;259;8947;
163;817;5278;
164;590;7064;
165;323;5739;
166;224;3027;
167;62;9511;
168;862;3280;
169;472;3311;
170;692;421;
171;474;2579;
172;772;5569;
173;170;8929;
174;538;354;
175;693;4105;
176;997;9059;
177;225;1087;
178;100;8194;
179;716;6063;
180;746;4863;
181;133;6011;
182;647;8528;
183;877;5504;
184;253;4753;
185;785;1623;
186;668;3993;
187;927;1479;
188;2;4264;
189;651;7447;
190;555;1021;
191;469;2225;
192;72;1540;
193;768;7954;
194;399;4652;
195;281;9391;
196;39;9095;
197;578;9761;
198;511;7770;
199;250;753;
200;818;2468;
201;51;622;
202;576;6556;
203;408;5627;
204;180;5891;
205;649;614;
206;429;5272;
207;20;8803;
208;508;7546;
209;314;5687;
210;657;7416;
211;19;6416;
212;90;4021;
213;367;9426;
214;682;3079;
215;298;9308;
216;129;334;
217;754;3721;
218;677;8482;
219;32;3155;
220;125;8309;
221;305;4962;
222;38;7015;
223;592;5953;
224;628;3528;
225;986;4193;
226;503;3897;
227;70;4167;
228;503;9691;
229;103;7041;
230;413;1417;
231;599;7111;
232;207;5074;
233;721;316;
234;744;8622;
235;211;5507;
236;202;6002;
237;847;7502;
238;568;5374;
239;788;1777;
240;405;3171;
241;606;9653;
242;595;7234;
243;318;9161;
244;449;5248;
245;519;4675;
246;900;5205;
247;295;5108;
248;576;8260;
249;853;2922;
250;707;8341;
251;670;7135;
252;526;4366;
253;278;8462;
254;705;5392;
255;149;998;
256;186;2733;
257;39;1622;
258;834;3480;
259;928;5928;
260;596;8709;
261;955;2091;
262;354;2959;
263;237;3689;
264;366;424;
265;434;6999;
266;170;3531;
267;611;5611;
268;781;7757;
269;339;6631;
270;995;7586;
271;917;9587;
272;439;9260;
273;220;89;
274;680;3903;
275;662;522;
276;685;1568;
277;486;4414;
278;429;4155;
279;484;8489;
280;151;5299;
281;596;7993;
282;467;9140;
283;160;8571;
284;764;5140;
285;194;9261;
286;651;56;
287;489;9918;
288;969;8196;
289;407;6194;
290;296;1658;
291;206;1762;
292;263;7172;
293;581;1488;
294;136;1212;
295;507;7511;
296;119;8840;
297;902;9297;
298;521;6147;
299;671;3779;
300;774;310;
301;870;2819;
302;829;8374;
303;942;1658;
304;963;9271;
305;301;1012;
306;640;879;
307;675;6515;
308;126;5669;
309;532;3715;
310;414;167;
311;315;1385;
312;625;2971;
313;28;149;
314;904;8221;
315;374;6839;
316;496;4312;
317;76;5598;
318;453;3568;
319;407;6842;
320;162;4507;
321;106;2595;
322;891;128;
323;609;835;
324;919;9223;
325;822;1358;
326;85;5760;
327;897;3170;
328;497;1408;
329;732;3497;
330;403;8246;
331;344;395;
332;373;9724;
333;344;6577;
334;647;585;
335;712;3524;
336;633;4483;
337;737;8372;
338;68;5442;
339;564;7013;
340;917;6367;
341;976;307;
342;911;1691;
343;810;7654;
344;492;1964;
345;392;7568;
346;672;8994;
347;402;851;
348;474;2552;
349;269;2497;
350;583;4854;
351;869;7115;
352;893;6724;
353;39;9322;
354;177;8808;
355;536;1084;
356;845;6752;
357;229;4966;
358;585;6924;
359;545;3849;
360;133;9986;
361;660;2703;
362;961;7317;
363;638;5636;
364;498;8688;
365;192;9425;
366;121;2971;
367;642;6659;
368;688;1536;
369;735;9642;
370;756;7048;
371;226;6126;
372;818;7743;
373;795;3964;
374;992;9990;
375;465;8734;
376;481;4759;
377;630;9177;
378;67;3426;
379;514;1760;
380;625;7158;
381;29;7942;
382;272;4188;
383;852;7984;
384;553;5245;
385;150;1832;
386;258;1540;
387;4;4238;
388;913;9518;
389;244;3913;
390;814;6638;
391;873;2443;
392;43;5149;
393;104;8659;
394;306;8158;
395;696;4796;
396;156;7008;
397;135;6467;
398;514;620;
399;702;7190;
400;481;1007;
401;312;6199;
402;15;2129;
403;556;9856;
404;324;6611;
405;132;3168;
406;704;4536;
407;874;8339;
408;375;4570;
409;630;992;
410;979;1805;
411;62;8332;
412;286;4481;
413;323;909;
414;49;3665;
415;955;6425;
416;142;664;
417;657;2268;
418;255;8099;
419;813;7975;
420;690;1601;
421;41;2006;
422;330;5784;
423;793;5354;
424;546;9777;
425;213;8261;
426;640;8099;
427;439;4661;
428;547;5853;
429;964;4343;
430;555;1837;
431;785;7421;
432;692;7710;
433;748;2842;
434;486;5214;
435;787;9241;
436;404;8893;
437;316;782;
438;463;1201;
439;387;5348;
440;567;7095;
441;561;8902;
442;805;708;
443;159;4185;
444;400;3145;
445;543;1126;
446;538;6709;
447;411;8006;
448;230;7764;
449;317;6197;
450;336;7125;
451;290;3593;
452;753;6058;
453;476;8284;
454;693;2296;
455;2;3541;
456;931;4366;
457;662;5318;
458;96;9475;
459;763;7006;
460;8;7368;
461;944;5630;
462;107;7564;
463;822;3800;
464;216;5566;
465;546;1059;
466;633;957;
467;735;8891;
468;738;8908;
469;251;9830;
470;487;5009;
471;620;3969;
472;353;332;
473;175;6953;
474;828;7285;
475;805;7686;
476;224;1006;
477;539;3522;
478;2;376;
479;524;6535;
480;63;5841;
481;845;9573;
482;252;8202;
483;636;931;
484;965;7783;
485;110;4605;
486;640;3024;
487;764;844;
488;437;4197;
489;169;7940;
490;509;3966;
491;763;6791;
492;939;736;
493;363;9558;
494;811;8331;
495;435;8375;
496;910;7968;
497;475;5906;
498;79;736;
499;199;5605;
500;629;8512;
501;313;1944;
502;894;4617;
503;942;8459;
504;140;4507;
505;136;6427;
506;542;5409;
507;392;4659;
508;54;3024;
509;93;8863;
510;730;3034;
511;853;7452;
512;353;7231;
513;647;9179;
514;492;6611;
515;195;2453;
516;559;5402;
517;439;4953;
518;763;7311;
519;86;9696;
520;153;9172;
521;407;4017;
522;669;6900;
523;0;3840;
524;516;9972;
525;52;4593;
526;635;8201;
527;112;6698;
528;413;7171;
529;886;2855;
530;337;6502;
531;332;1431;
532;718;1737;
533;509;6724;
534;188;6887;
535;745;4160;
536;737;4659;
537;443;2298;
538;668;5433;
539;655;9168;
540;161;9920;
541;430;7327;
542;809;4843;
543;71;245;
544;918;2158;
545;468;9528;
546;400;8990;
547;214;1759;
548;295;1361;
549;574;7550;
550;509;677;
551;514;8431;
552;175;6461;
553;463;5835;
554;856;2469;
555;657;9209;
556;850;4518;
557;172;6381;
558;634;6245;
559;990;3938;
560;662;6486;
561;988;146;
562;502;5551;
563;30;4113;
564;69;5879;
565;551;2010;
566;666;5085;
567;868;4993;
568;735;4148;
569;473;7784;
570;549;4860;
571;354;8989;
572;938;2460;
573;685;3665;
574;225;7259;
575;786;1779;
576;988;3679;
577;955;6074;
578;799;9917;
579;54;4897;
580;12;4830;
581;412;1533;
582;447;226;
583;293;8827;
584;382;3102;
585;810;84;
586;95;6209;
587;927;2338;
588;230;5205;
589;259;5804;
590;385;6913;
591;365;2717;
592;833;7851;
593;749;2867;
594;159;5259;
595;364;5620;
596;761;2426;
597;841;6011;
598;832;2441;
599;696;2671;
600;215;15;
601;41;6276;
602;42;7226;
603;755;7275;
604;305;5590;
605;67;8004;
606;511;8987;
607;461;2421;
608;915;6112;
609;365;7586;
610;586;334;
611;67;6236;
612;671;5376;
613;785;2647;
614;385;2854;
615;290;770;
616;607;2233;
617;944;5243;
618;42;9337;
619;994;4651;
620;343;3970;
621;72;3341;
622;567;7788;
623;485;109;
624;733;1249;
625;824;8075;
626;68;7914;
627;447;4414;
628;451;9971;
629;768;4805;
630;982;3117;
631;997;7769;
632;657;1010;
633;268;414;
634;795;6355;
635;368;9848;
636;437;9949;
637;207;2027;
638;438;10;
639;769;2954;
640;772;8163;
641;418;9297;
642;881;8659;
643;276;654;
644;728;6743;
645;156;794;
646;402;6130;
647;622;7846;
648;49;1165;
649;288;6112;
650;769;9403;
651;593;421;
652;46;5291;
653;876;9760;
654;574;6375;
655;589;2833;
656;571;9641;
657;158;4345;
658;429;2684;
659;742;3921;
660;434;4256;
661;175;6298;
662;35;4888;
663;546;5359;
664;524;1134;
665;354;8550;
666;847;1655;
667;721;2342;
668;999;8768;
669;259;8755;
670;668;2071;
671;685;8884;
672;175;5063;
673;473;742;
674;499;3739;
675;785;6649;
676;886;3299;
677;598;5800;
678;611;6436;
679;52;6662;
680;918;5786;
681;251;5732;
682;939;9161;
683;821;3007;
684;227;2193;
685;463;550;
686;211;9680;
687;990;7833;
688;579;5617;
689;567;476;
690;392;4034;
691;810;4859;
692;679;1971;
693;68;3192;
694;55;986;
695;200;1553;
696;593;6788;
697;82;2940;
698;143;3254;
699;928;1076;
700;342;9329;
701;308;8797;
702;377;5476;
703;666;3762;
704;947;4332;
705;507;8977;
706;465;8726;
707;340;4940;
708;170;9284;
709;902;2192;
710;603;862;
711;850;6018;
712;259;6816;
713;601;1733;
714;600;2690;
715;277;2136;
716;525;7749;
717;256;4781;
718;841;8232;
719;767;2005;
720;844;2618;
721;626;4166;
722;968;5643;
723;683;5534;
724;530;5323;
725;368;7825;
726;148;964;
727;935;9071;
728;416;1187;
729;365;737;
730;11;2768;
731;514;1201;
732;563;864;
733;949;1017;
734;742;448;
735;624;3428;
736;993;7042;
737;815;5409;
738;122;6676;
739;147;2455;
740;739;1547;
741;549;434;
742;36;9871;
743;65;5354;
744;595;624;
745;753;3732;
746;890;2438;
747;530;1970;
748;133;9254;
749;160;9478;
750;958;4784;
751;785;1893;
752;815;9893;
753;80;5238;
754;539;7814;
755;488;4105;
756;450;2248;
757;746;5204;
758;560;4356;
759;502;9257;
760;880;3339;
761;922;1299;
762;442;2966;
763;226;2927;
764;878;5003;
765;924;3304;
766;379;2107;
767;166;5755;
768;321;9993;
769;519;25;
770;767;5429;
771;614;9114;
772;82;2502;
773;235;6238;
774;251;8183;
775;752;1150;
776;460;5416;
777;620;2450;
778;759;7173;
779;252;5612;
780;450;4259;
781;430;9490;
782;98;6503;
783;859;8889;
784;603;945;
785;440;732;
786;298;2277;
787;58;2588;
788;200;9162;
789;139;482;
790;51;3371;
791;885;7711;
792;682;6988;
793;2;4420;
794;100;6711;
795;30;9726;
796;502;99;
797;226;9657;
798;8;950;
799;157;9413;
800;330;3265;
801;384;8150;
802;232;1386;
803;759;4581;
804;415;7399;
805;903;9972;
806;395;2102;
807;473;8143;
808;215;7529;
809;73;2446;
810;447;3551;
811;803;5943;
812;541;5630;
813;811;8144;
814;247;8204;
815;655;2514;
816;369;2078;
817;387;1721;
818;405;4247;
819;616;9063;
820;219;4753;
821;523;4761;
822;822;8378;
823;838;6242;
824;525;6006;
825;181;9459;
826;75;6690;
827;447;6380;
828;908;793;
829;214;8187;
830;12;2351;
831;725;8147;
832;533;4218;
833;509;6505;
834;44;9729;
835;707;2280;
836;697;7213;
837;970;8740;
838;858;7628;
839;49;251;
840;467;5796;
841;969;1304;
842;275;5892;
843;838;1009;
844;670;1286;
845;879;9888;
846;971;4609;
847;971;8382;
848;801;7260;
849;137;9275;
850;427;3516;
851;916;795;
852;517;5502;
853;545;8042;
854;705;5120;
855;511;3024;
856;419;4217;
857;962;2688;
858;765;3353;
859;620;778;
860;175;7675;
861;481;32;
862;687;2520;
863;109;8662;
864;610;8757;
865;668;1794;
866;188;6508;
867;229;1619;
868;153;4216;
869;68;3967;
870;864;8665;
871;891;6324;
872;353;6952;
873;732;7840;
874;811;6869;
875;421;6683;
876;988;6492;
877;945;1826;
878;302;2565;
879;407;6015;
880;914;1195;
881;313;8643;
882;676;4692;
883;451;5558;
884;931;7647;
885;478;3206;
886;619;8381;
887;112;971;
888;937;8021;
889;754;955;
890;106;1051;
891;230;1081;
892;369;5163;
893;498;2823;
894;515;1583;
895;381;8477;
896;488;1617;
897;173;2226;
898;88;6090;
899;523;2887;
900;815;3864;
901;92;7059;
902;447;2494;
903;220;7481;
904;80;5477;
905;257;9462;
906;79;4512;
907;810;4822;
908;544;4478;
909;930;1830;
910;641;3369;
911;644;8628;
912;469;3307;
913;844;8802;
914;938;1056;
915;424;8346;
916;200;4534;
917;322;6187;
918;590;2913;
919;771;9714;
920;754;9931;
921;645;852;
922;228;1448;
923;740;279;
924;823;8392;
925;771;4129;
926;398;5958;
927;119;7528;
928;799;3101;
929;994;1576;
930;487;1419;
931;518;2243;
932;866;8541;
933;235;2466;
934;852;3321;
935;927;9146;
936;849;4347;
937;321;4906;
938;142;4727;
939;34;2209;
940;146;1501;
941;441;5548;
942;276;6811;
943;818;6413;
944;186;4396;
945;10;8455;
946;219;2974;
947;777;8165;
948;634;9457;
949;284;6379;
950;671;5148;
951;958;7557;
952;780;4777;
953;442;3259;
954;369;545;
955;728;598;
956;236;8322;
957;785;3100;
958;648;9612;
959;113;6903;
960;617;4843;
961;137;3348;
962;666;2351;
963;429;5734;
964;715;455;
965;688;3403;
966;346;7820;
967;914;2103;
968;108;6826;
969;308;8828;
970;896;7417;
971;160;5131;
972;785;5642;
973;879;8100;
974;998;4380;
975;680;9914;
976;984;9743;
977;162;7410;
978;303;5344;
979;39;2921;
980;177;9426;
981;61;1333;
982;849;5134;
983;529;8932;
984;463;1425;
985;386;1633;
986;137;7556;
987;415;5285;
988;182;7753;
989;159;329;
990;51;4609;
991;348;4026;
992;788;4714;
993;650;8549;
994;144;8678;
995;993;5986;
996;161;4375;
997;612;7550;
998;495;4150;
999;182;5408;
